"시도(1)",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"시도(1)",총계,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,음식물류폐기물분리배출
"시도(1)",소계,소계,가연성,가연성,가연성,가연성,가연성,가연성,가연성,불연성,불연성,불연성,불연성,불연성,소계,종이류,폐유리병류,캔류,플라스틱류,합성수지류,폐전기전자제품,폐전지류,타이어,윤활유,폐형광등,고철류,폐의류,영농폐기물,폐가구류,폐식용유,기타,소계
"시도(1)",소계,소계,소계,음식물류폐기물,폐지류,폐목재류,폐고무류,플라스틱류,기타,소계,폐유리류,폐금속류,폐토사류,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"합계",43411.2,18157.2,15383.3,972.1,5047.0,1087.7,817.2,2858.7,4600.6,2773.9,480.0,404.3,298.7,1590.9,11928.5,4133.8,1580.9,664.9,1017.5,1014.9,120.1,20.8,9.4,5.0,48.0,1630.8,146.3,440.3,374.6,15.2,706.0,13325.5
"서울",8657.4,2691.7,2562.8,48.0,891.3,141.2,97.5,303.5,1081.3,128.9,42.4,23.7,14.2,48.6,2998.5,1376.3,418.6,181.5,251.8,288.8,15.3,8.4,0.0,0.0,21.5,168.3,38.3,8.8,92.6,8.3,120.0,2967.2
"부산",2875.8,889.9,761.8,50.4,302.5,34.0,14.0,199.6,161.3,128.1,18.9,16.4,0.0,92.8,1273.2,628.9,173.0,71.6,129.2,41.1,6.4,0.1,0.0,0.0,0.7,136.9,0.0,0.0,5.0,0.0,80.3,712.7
"대구",2297.9,1032.0,661.2,0.0,145.8,58.7,32.5,171.7,252.5,370.8,45.0,22.8,6.3,296.7,662.4,193.9,89.8,56.6,68.9,59.1,4.1,0.5,0.0,0.0,1.8,88.3,17.6,0.1,34.1,0.2,47.4,603.5
"인천",1602.5,807.9,601.7,20.8,131.8,47.6,37.4,57.2,306.9,206.2,17.6,84.7,23.4,80.5,101.9,11.2,22.0,2.4,5.9,39.2,1.1,1.0,0.0,0.0,0.8,4.3,0.0,2.0,1.6,0.1,10.3,692.7
"광주",1126.5,421.7,369.3,33.4,170.0,24.8,12.6,112.1,16.4,52.4,0.1,17.2,0.5,34.6,198.6,33.4,29.2,9.3,29.5,37.8,2.0,0.2,0.0,0.0,0.6,30.2,2.4,0.1,8.7,0.1,15.1,506.2
"대전",1356.0,441.0,398.6,17.3,135.6,31.0,26.1,74.1,114.5,42.4,12.8,10.1,0.3,19.2,466.0,152.2,85.4,26.0,51.9,90.1,0.6,0.4,0.0,0.0,0.8,51.3,0.0,1.6,2.9,0.0,2.8,449.0
"울산",1306.7,572.9,432.9,0.0,88.7,32.0,25.2,54.9,232.1,140.0,9.4,4.8,16.8,109.0,407.2,105.9,56.7,51.0,20.7,37.5,3.5,0.1,0.0,0.0,0.6,104.6,9.7,2.6,0.9,0.0,13.4,326.6
"세종",100.3,57.7,53.6,6.8,22.4,0.9,0.7,14.0,8.8,4.1,1.7,1.4,0.2,0.8,20.2,1.3,1.2,0.2,0.3,11.3,0.0,0.0,0.0,0.0,0.0,0.3,1.2,0.0,0.0,0.1,4.3,22.4
"경기",8908.1,3924.3,3590.9,260.2,1196.9,330.7,209.7,661.3,932.1,333.4,85.2,38.7,25.0,184.5,1907.0,517.5,400.0,120.0,186.0,225.9,23.6,6.3,0.1,0.0,8.9,149.9,31.0,30.0,106.8,0.5,100.5,3076.8
"강원",1793.7,894.6,707.9,46.2,206.7,32.1,35.7,129.3,257.9,186.7,23.1,21.4,29.2,113.0,523.2,163.2,41.5,53.0,32.4,13.8,13.2,1.4,2.4,4.8,5.7,109.8,5.5,39.7,23.8,0.2,12.8,375.9
"충북",1541.3,681.9,561.9,66.9,188.8,31.9,18.8,137.7,117.8,120.0,17.3,15.3,17.6,69.8,469.4,115.3,37.1,10.2,47.3,29.3,1.3,0.2,0.0,0.0,0.7,100.2,5.2,45.1,9.7,3.3,64.5,390.0
"충남",2092.2,939.6,818.3,83.9,227.6,66.6,47.0,172.3,220.9,121.3,31.0,19.8,27.2,43.3,650.5,177.3,40.5,10.7,27.8,17.4,7.7,0.3,0.1,0.0,1.1,261.0,8.0,62.8,4.9,0.1,30.8,502.1
"전북",1618.5,696.6,609.1,29.0,208.7,51.7,50.0,133.2,136.5,87.5,20.5,18.7,14.3,34.0,320.8,137.7,23.5,4.6,23.4,13.0,3.3,0.0,0.8,0.0,0.5,3.6,0.4,46.9,16.4,0.1,46.6,601.1
"전남",1673.2,881.6,795.1,87.4,298.0,22.3,40.2,175.4,171.8,86.5,24.4,22.6,14.9,24.6,318.3,66.3,24.4,12.8,29.7,19.6,5.7,0.6,0.6,0.2,0.9,35.3,5.1,84.9,4.6,0.5,27.1,473.3
"경북",2360.7,1364.6,1043.6,63.5,350.8,84.1,59.6,193.4,292.2,321.0,50.8,41.9,61.5,166.8,375.7,92.9,43.4,12.4,22.7,23.7,11.5,1.1,0.1,0.0,2.6,50.4,6.1,59.1,16.2,0.1,33.4,620.4
"경남",3186.5,1527.0,1233.8,148.8,411.2,89.5,105.6,256.4,222.3,293.2,29.2,37.8,29.7,196.5,842.8,221.3,86.7,32.3,51.2,58.5,18.2,0.1,0.0,0.0,0.6,188.5,9.9,51.1,45.7,0.8,77.9,816.7
"제주",913.9,332.2,180.8,9.5,70.2,8.6,4.6,12.6,75.3,151.4,50.6,7.0,17.6,76.2,392.8,139.2,7.9,10.3,38.8,8.8,2.6,0.1,5.3,0.0,0.2,147.9,5.9,5.5,0.7,0.8,18.8,188.9
