"","거래일자","종목명","종가"
"1",20210104,"(주)마이크로컨텍솔루션",6320
"2",20210104,"(주)스카이이앤엠",1960
"3",20210104,"(주)포스코엠텍",4710
"4",20210104,"AJ네트웍스보통주",4580
"5",20210104,"AK홀딩스보통주",25250
"6",20210104,"BGF리테일보통주",132000
"7",20210104,"BGF보통주",4990
"8",20210104,"BNK금융지주보통주",5560
"9",20210104,"BYC보통주",287500
"10",20210104,"CJ보통주",92100
"11",20210104,"CJ씨푸드보통주",5070
"12",20210104,"CMG제약",5810
"13",20210104,"CS홀딩스보통주",59100
"14",20210104,"DB금융투자보통주",4675
"15",20210104,"DB손해보험보통주",42750
"16",20210104,"DB하이텍보통주",51100
"17",20210104,"DGB금융지주보통주",6660
"18",20210104,"DI동일보통주",155500
"19",20210125,"DL보통주",74600
"20",20210104,"DSR보통주",6470
"21",20210104,"DSR제강보통주",4885
"22",20210104,"E1보통주",43600
"23",20210104,"ESR켄달스퀘어리츠보통주",5250
"24",20210104,"F&F보통주",86700
"25",20210104,"GS건설보통주",38050
"26",20210104,"GS보통주",37800
"27",20210104,"HDC보통주",11000
"28",20210104,"HDC현대산업개발보통주",26300
"29",20210104,"IHQ보통주",1575
"30",20210104,"JB금융지주보통주",5480
"31",20210104,"JW생명과학보통주",20400
"32",20210104,"JW중외제약보통주",36200
"33",20210104,"JW홀딩스 보통주",5920
"34",20210104,"KB금융지주 보통주",42450
"35",20210104,"KB오토시스",7570
"36",20210104,"KCTC 보통주",3790
"37",20210104,"KD",1245
"38",20210104,"KG동부제철보통주",12150
"39",20210104,"KG케미칼보통주",25500
"40",20210104,"KISCO홀딩스보통주",14250
"41",20210104,"KPX케미칼보통주",53700
"42",20210104,"KPX홀딩스보통주",59300
"43",20210104,"KR모터스보통주",1150
"44",20210104,"LF보통주",14950
"45",20210104,"LG디스플레이보통주",19050
"46",20210104,"LG보통주",96900
"47",20210104,"LG상사보통주",26750
"48",20210104,"LG생활건강보통주",1612000
"49",20210104,"LG유플러스보통주",11850
"50",20210104,"LG이노텍보통주",192500
"51",20210104,"LG전자보통주",142000
"52",20210104,"LG화학보통주",889000
"53",20210104,"LIG넥스원보통주",30700
"54",20210104,"LS ELECTRIC보통주",65000
"55",20210104,"LS네트웍스보통주",2710
"56",20210104,"LS보통주",72500
"57",20210104,"MH에탄올보통주",8140
"58",20210104,"NAVER보통주",293000
"59",20210104,"NHN보통주",74000
"60",20210104,"NH프라임리츠보통주",4265
"61",20210104,"NICE보통주",18900
"62",20210104,"NI스틸보통주",2560
"63",20210104,"NPC보통주",3315
"64",20210104,"OCI보통주",98500
"65",20210104,"S&TC 보통주",15750
"66",20210104,"S&T모티브보통주",55700
"67",20210104,"S&T중공업보통주",5900
"68",20210104,"S&T홀딩스보통주",15100
"69",20210104,"S-Oil보통주",70300
"70",20210104,"SBI핀테크솔루션즈",8010
"71",20210104,"SBS미디어홀딩스보통주",1875
"72",20210104,"SGC에너지보통주",42800
"73",20210104,"SH에너지화학보통주",1085
"74",20210104,"SIMPAC보통주",2455
"75",20210104,"SJM보통주",3385
"76",20210104,"SJM홀딩스보통주",3145
"77",20210104,"SKC보통주",101500
