title,link,content
"[뉴욕증시, 파월 발언·GDP 부진에 혼조 출발]",https://n.news.naver.com/mnews/article/366/0000824200?sid=104,"[




제롬 파월 미국 연방준비제도(Fed·연준) 의장이 지난 22일(현지 시각) 워싱턴 국회의사당에서 열린 미국 상원 은행위원회에 참석하고 있다. 파월 의장은 이날 인플레이션을 잡겠다고 약속하며 금리 인상 가능성을 시사했다. /AP 연합뉴스         29일(현지 시각) 뉴욕증시가 혼조세로 출발했다. “인플레이션을 2%로 되돌릴 수 있다고 생각한다”는 제롬 파월 연방준비제도(연준·Fed) 의장의 발언과 국내총생산(GDP) 성장률 부진 소식이 맞물린 결과다.오전 10시 19분 현재 뉴욕증권거래소(NYSE)에서 다우존스30산업평균지수는 전장보다 31.35포인트(0.10%) 오른 3만978.34를 기록 중이다. 스탠더드앤드푸어스(S&amp;P)500지수는 전장보다 9.13포인트(0.24%) 하락한 3812.42, 기술주 중심의 나스닥 지수는 전장보다 49.08포인트(0.44%) 떨어진 1만1132.46이다.파월 의장은 이날 유럽중앙은행(ECB) 콘퍼런스에 참석해 “강한 노동시장을 유지하면서 인플레이션을 2%로 되돌릴 길이 있다고 생각한다”며 “이를 할 수 있다고 믿는다”고 말했다. 다만 그는 “그렇게 할 수 있다는 것을 보장할 수는 없다”며 “분명 매우 힘든 일이 될 것이다”라고 덧붙였다.미 상무부는 이날 1분기 국내총생산(GDP) 성장률이 연율 마이너스(-) 1.6%로 확정됐다고 밝혔다. 이는 앞서 발표한 잠정치 -1.5%보다 부진한 수치다. 분기 성장률이 마이너스로 돌아선 것은 코로나19 팬데믹(세계적 대유행)이 시작된 지난 2020년 2분기 이후 이번이 처음이다. GDP 성장률이 두 개 분기 연속 마이너스를 기록할 경우 시장에서는 이를 기술적 ‘경기 침체’로 판단한다.한편 S&amp;P500지수는 올들어 20%가량 하락했다. 이 수준에서 이번 상반기를 마감할 경우 1970년(21.01%↓) 이후 최악의 하락률이 될 전망이다.
]"
[세계 증시 '돈 가뭄'…닷컴버블 이후 최악],https://n.news.naver.com/mnews/article/015/0004718288?sid=101,"[
상반기 글로벌 주식발행시장작년보다 70% 급감 1964억弗금리인상 등 여파로 투심 악화IPO·유상증자 쪼그라들어美기업 조달 자금 고작 300억弗 30년 만에 中기업에 추월 당해올 상반기 전 세계 기업들이 기업공개(IPO), 유상증자 등을 통해 조달한 자금이 19년 만에 최저치를 기록한 것으로 나타났다. 글로벌 긴축 기조와 우크라이나 전쟁의 영향으로 분석된다. 투자자들의 위험회피 심리가 확산하면서 주식시장이 움츠러들었다. 주식시장에서 중국 기업의 자금 조달 규모는 30년 만에 처음으로 미국 기업을 뛰어넘었다.



 ○얼어붙은 주식발행시장29일 일본 니혼게이자이신문은 금융정보회사 리피니티브를 인용해 올해 1월부터 지난 9일까지 세계 주식발행시장(ECM) 규모가 전년 동기 대비 70% 감소한 1964억달러(약 253조8000억원)를 기록했다고 보도했다. 닷컴 버블 붕괴 영향이 미쳤던 2003년(1324억달러) 후 가장 적다.지난해 주식시장은 풍부한 유동성을 바탕으로 활황을 맞았다. 우크라이나 사태가 터진 올해는 분위기가 사뭇 다르다. 각국이 난제로 떠오른 인플레이션을 해결하기 위해 기준금리 인상에 나서면서 투자 심리가 꺾였다.가베야 히로카즈 다이와증권 애널리스트는 “올해 미국 중앙은행(Fed)을 중심으로 각국이 긴축을 서두르면서 주가가 크게 하락하고 경기 전망도 불확실해졌다”며 “기업이 설비 투자와 인수합병(M&amp;A)을 미루며 증자 활동이 줄었다”고 분석했다.특히 미국 기업의 자금 조달이 눈에 띄게 감소했다. 올 상반기 미국 기업이 주식시장을 통해 확보한 자금은 약 300억달러로 1년 전에 비해 6분의 1 수준으로 쪼그라들었다. 기업인수목적회사(SPAC)와의 합병을 통한 우회 상장이 감소한 영향이라는 분석이다. 시장조사업체 피치북에 따르면 올 1~3월 상장한 SPAC의 자금 조달액은 전년 동기 대비 90% 급감했다.같은 기간 중국 기업이 주식시장을 통해 조달한 자금은 700억달러에 달했다. 1년 전에 비해 60% 줄었지만 미국과 일본 기업의 감소폭보다 적었다. 니혼게이자이는 “중국 기업의 조달액은 미국 기업의 2배가 넘는다”며 “중국 기업이 1990년 이후 처음으로 미국 기업의 자금 조달액을 역전했다”고 전했다.기업별로 보면 중국 국영 석유업체인 중국해양석유의 조달액이 322억위안(약 6조2120억원)으로 가장 많았다. 이 기업은 당초 뉴욕증권거래소(NYSE)에서 거래됐지만, 상장 폐지 후 지난 4월 상하이증권거래소에 상장했다. 앞서 도널드 트럼프 미국 대통령이 중국군이 소유한 기업에 대한 미국인의 투자를 금지하는 행정명령을 내린 결과였다. ○美 IPO시장 직격탄미국 IPO시장의 열기는 급격히 식었다. 블룸버그가 이날 공개한 자료에 따르면 올 상반기 기업들이 미국 IPO시장에서 거둔 자금 규모는 1년 전의 4.9% 수준인 49억달러로 집계됐다. 이는 금융위기를 겪던 2009년 상반기(22억달러) 후 가장 적다. 지난해 IPO가 이례적으로 활발했던 것을 감안해도 5년 평균치(470억달러)에도 크게 못 미친다.투자 환경이 나빠지면서 스타트업들은 상장 계획을 뒤로 미루고 있다. 피치북에 따르면 벤처캐피털(VC)이 투자한 유니콘 기업(기업가치 10억달러 이상 스타트업) 중 올해 뉴욕증시에 상장한 업체는 단 한 곳도 없다.뉴욕증시에 입성한 기업들의 주가 흐름도 부진하다. 지난해 뉴욕증시에 상장한 500여 개 기업(SPAC 제외) 중 현재 주가가 공모가보다 높은 가격에서 거래되고 있는 곳은 10%에 불과하다고 블룸버그는 보도했다.
]"
[증시 하락세에 돈 빼는 개미들…신용잔고 17조원대로 '급감'],https://n.news.naver.com/mnews/article/448/0000364719?sid=101,"[




29일 오후 서울 중구 하나은행 본점 딜링룸에 이날 코스피 종가가 표시돼 있다. / 연합뉴스증시 급락 여파에 이른바 '빚투'가 급격히 줄고 있다.개인투자자가 빚을 내 주식을 사는 신용거래융자 잔고가 1년 7개월 만에 17조원대로 내려왔다.29일 금융투자협회에 따르면 지난 28일 기준 개인이 증권사로부터 자금을 빌려 주식에 투자한 신용거래융자의 잔고는 17조7156억원이다. 지난 9일부터 13거래일 연속 감소세다.신용거래융자 잔고가 17조원대로 줄어든 것은 2020년 11월 30일(17조9401억원) 이후 1년 7개월 만이다.지난달 말 21조5646억원에 달하던 잔고는 이달에만 4조원 가까이 줄었다.신용거래융자 잔고는 개인이 신용거래를 통해 주식에 투자하고서 아직 갚지 않은 금액이다. 주가 하락이 예상되면 디레버리징(차입 상환)으로 신용 잔고가 줄어든다.주가 하락폭이 커지면서 돈을 빌려 주식을 샀다가 강제 처분되는 '반대매매'도 급증하고 있다.이달 들어 하루 평균 반대매매 금액은 약 212억원 규모로, 지난달  165억원 대비 28%가량 늘었다.특히 지난 15일 하루 반대매매는 315억 5500만원으로 지난해 10월 7일(344억1700만 원) 이후 최고치를 기록했다.
]"
"[국민주도 '공매도' 맛집 됐다…""韓증시가 동네북이냐"" 개미 비명]",https://n.news.naver.com/mnews/article/008/0004764869?sid=101,"[




외국인이 6월 한국증시에서 5조7000억원에 달하는 주식을 팔아치운 가운데 외국인 공매도 비중이 80%를 넘나드는 것으로 나타났다. 반등을 시도하던 코스피 2400선이 재차 깨진 가운데 개인 투자자들은 정부와 금융당국에 '한시적 공매도 금지'를 요구하고 나섰다. 29일 한국거래소에 따르면 코스피 외국인의 공매도 비중(거래대금 기준)은 코스피가 연중 최저치를 기록한 지난 24일 84.64%를 차지했다. 이후 27일(71.57%), 28일(71.72%)에도 여전히 70%대를 유지하고 있다. 외국인 공매도 비중은 지난 22일에도 81.5%를 기록하는 등 6월 하락장에서 급증하는 모습이다. 외국인의 공매도 비중이 85%에 육박했던 지난 24일 개인의 공매도 비중은 3.63%에 그쳤다. 기관도 11.73%에 불과했다. 연초 코스피 공매도 거래대금에서 외국인 비중은 60%대였다. 하지만 5월 들어 외국인 공매도 비중이 70%대로 올라섰고 6월에는 80%까지 치솟았다.  코스닥 시장에서도 외국인의 공매도 거래대금 비중이 70%에 육박하고 있다. 28일 기준 코스닥 외국인 공매도 비중은 65.15%를 차지했다. 지난해말 9조9000억원에 불과했던 코스피 공매도 잔고금액도 최근 11조원대로 증가했다. 전체 시가총액에서 차지하는 비중은 0.62%(24일 기준)로 공매도 재개 이후 최고 수준을 유지하고 있다. 지난해 6월29일 시가총액 대비 공매도 비중(0.33%)과 비교하면 1년새 두배 가까이 늘었다. 6월 들어 이날까지 코스피 지수는 11.5%, 코스닥 지수는 14.7% 빠졌다. 외국인 매도 공세로 한국 주식이 하락하고 외국인이 집중적으로 공매도에 나서자 개인 투자자 원성이 높아지고 있다. 특히 6월 코스닥·코스피 지수가 전 세계 증시 중 하락률 1·2위를 기록하면서 韓 증시 하락의 주범으로 공매도를 지목하고 한시적 공매도 금지와 법 개정을 요구하고 나섰다. 5만1000명의 투자자 회원을 보유한 한국주식투자자연합회는 ""왜 한국 증시만 동네북이 되어야 하는가""를 호소하며 한시적 공매도 금지 조치와 △외국인과 기관의 공매도 상환기간을 90일로 변경 △외국인과 기관도 개인처럼 증거금 도입 법제화 △외국인과 기관의 담보비율을 개인처럼 140%로 변경 등 8가지 공매도 개혁안을 내놨다. 지지부진한 장세 속에서 퀀트 기반 주식추천서비스를 제공하는 퀀트케이 리서치센터는 지난 24일 ""국내 증시에서 공매도 리스크가 확대되고 있다""는 보고서를 제출해 주목받기도 했다. 퀀트케이 측은  ""지난해 5월 공매도 재개 이후 공매도 금액은 꾸준히 증가해 올해 5월 기준 코스피 공매도 평균잔고액은 12조5000억원으로 월평균 거래대금의 59%에 달한다""고 밝혔다. 이어 ""공매도가 가능한 코스피200, 코스닥150 지수에 보유종목이 편입된다는 것은 이제 주주들에게 '호재가 아닌 악재'라며 ""개인 투자자는 공매도에 접근하기 어려운 것이 현실이고 코스피, 코스닥에서 외국인·기관의 공매도 비중이 압도적으로 높다""고 지적했다. 이들은 ""최근 시장 급락기에 개인 투자자의 공포심은 극에 달했다""며 ""하루에 5~10% 이상 주가 변동성을 키우는 공매도는 백해무익하며 개인 투자자에만 피해를 주는 공매도는 사라져야 한다. 건전한 자본시장을 위해 당국 관계자들은 머리 싸매고 판단해주시길 바란다""고 요청했다. 증시가 급락한 6월 한국증시에서 공매도 비중이 가장 높은 종목은 넷마블(28.59%)이다. 이어 메리츠금융지주, LG에너지솔루션, 아모레퍼시픽, 하나투어, 카카오뱅크 등이 공매도 10위권에 이름을 올렸다. 공매도량을 기준으로는 대한전선, 두산에너빌리티, HMM이 6월 공매도 1,2,3위를 차지했고 삼성전자가 4위에 이름을 올렸다. 
]"
"[뉴욕증시, 반등 시도 실패…다우지수만 소폭 상승]",https://n.news.naver.com/mnews/article/003/0011276238?sid=104,"[
기사내용 요약1분기 마이너스 성장, 파월 긴축 유지 발언 영향



[뉴욕=AP/뉴시스]지난 7월21일 뉴욕 증권거래소 앞을 사람들이 지나가고 있다. 2020.08.29.[서울=뉴시스] 임종명 기자 = 뉴욕증시 주요 지수가 반등세를 노리다 결국 보합 수준에서 혼조세를 나타냈다.29일(현지시간) 뉴욕증권거래소(NYSE)에 따르면 다우존스 산업평균지수는 전 거래일보다 82.32p(0.27%) 오른 2만1029.31로 장을 마쳤다.스탠더드앤드푸어스(S&amp;P) 500지수는 2.72p(0.07%) 하락한 3818.83으로, 나스닥 지수는 3.65p(0.03%) 떨어진 1만1177.89로 거래를 마감했다.이날 지수는 제롬 파월 연방준비제도(Fed·연준)의 발언과 올해 1분기 국내총생산(GDP) 성장률이 연율기준 마이너스(-) 1.6%를 기록한 것 등의 영향을 받은 것으로 분석된다.미 상무부 산하 경제분석국(BEA)은 이날 인플레이션을 반영한 실질 GDP 성장률 확정치가 -1.6%로 집계됐다고 발표했다. 이는 앞서 발표된 잠정치 -1.5%보다 부진한 것이다. 또 직전 분기인 지난해 4분기 연율 기준 6.9% 성장세를 보인 것과 비교된다.CNBC는 ""이날 뉴욕증시에서는 제롬 파월 연준 의장 발언이 주목받았다""고 설명했다. 파월 의장은 이날 포르투갈 신트라에서 열린 유럽중앙은행(ECB) 연례 정책 포럼에서 ""경기침체 우려가 존재하지만 물가가 더 중요하다""고 강조했다.그러면서 ""현재 미국 경제는 탄탄해 긴축 정책을 견딜 수 있는 위치에 있다""며 고용안정을 유지하며 인플레이션을 2%로 낮출 수 있다고 말했다. 물가가 잡힐 때까지 금리 인상을 이어가겠다는 뜻으로 전해지면서 투자자들의 투자 심리 위축과 경기 침체 우려가 커졌다.류트홀드 그룹의 짐 폴센은 ""폭주하는 인플레이션에 대한 투쟁이 치열하며 경기후퇴 우려가 팽배하다""며 ""투자자들은 지속적인 변동성과 마이너스 성장 수정에 기대를 걸고 있다""고 설명했다.웰스파고의 주식 분석가 크리스토퍼 하비는 ""시장 부진에 뒤따른 쇼트-커버링 랠리로 올여름 상당한 변동성이 예상된다""며 ""우리는 연준이 금리를 0.50%p 또는 0.75%p 올리는 긴축 정책에서 평범한 0.25%p 인상으로 전환될 것이라고 믿기 전가지는 시장이 반등세를 지속하지 못할 것""이라고 생각한다""고 덧붙였다.한편 이날 암호화폐 비트코인 시세는 한때 1코인당 2만 달러 밑으로 떨어졌다가 다시 2만 달러를 웃도는 수준으로 상승했다．
]"
[미증시 급락에도 연준 간부들 잇달아 공격적 금리인상 주장],https://n.news.naver.com/mnews/article/421/0006185160?sid=104,"[




존 윌리엄스 뉴욕 연은 총재. © 로이터=뉴스1 © News1 박형기 기자(서울=뉴스1) 박형기 기자 = 28일(현지시간) 미국증시가 나스닥이 3% 가까이 급락하는 등 일제히 하락했음에도 연준 간부들이 잇달아 공격적 금리인상을 지속해야 한다고 강조했다. ◇ 뉴욕연준총재 ""인플레 억제 위해 단호한 조치 필요"" : 존 윌리엄스 뉴욕 연준 총재는 “금리인상이 반드시 경기 침체를 동반하지는 않는다”며 “인플레이션 억제를 위해 단호한 조치가 필요하다”고 말했다.그는 이날 경제전문매체 CNBC와 인터뷰에서 ""다음 공개시장위원회(FOMC) 회의의 쟁점은 금리인상폭이 0.5%포인트냐 0.75%포인트냐의 논쟁이 될 것""이라며 ""우리는 신속하고 단호하게 움직여야 한다""고 말했다.그는 “실업률이 현재 3.6%에서 소폭 상승할 것으로 보이지만 노동시장이 여전히 강하고 경제가 침체에 빠지지 않을 만큼 충분한 모멘텀을 가지고 있다”며 “공격적인 금리인상을 추진해야 한다”고 주장했다.그는 ""연준이 금리인상을 단행한다고 해서 반드시 미국 경제가 침체에 빠지는 것은 아니다""며 ""미국 경제가 금리인상에도 침체에 빠지지 않을 만큼 충분히 견조하다""고 강조했다.◇ 샌프란시스코 연준 총재 ""인플레이션이 가장 큰 적"" : 메리 댈리 샌프란시스코 연준 총재도 이날 ‘링크드인’과 인터뷰에서 ""많은 사람들이 연준이 너무 공격적으로 행동해 경제를 침체에 빠뜨릴 수 있다고 우려하고 있지만 억제되지 않은 인플레이션이 미국 경제에 더욱 큰 위협""이라고 말했다. 그는 ""인플레이션을 억제하기 위해 우리는 가능한 한 빨리 움직여야 한다""며 ""금리인상으로 경제가 둔화되지만 성장을 멈추지는 않을 것으로 예상한다""고 덧붙였다. 그는 7월 FOMC 회의에서 0.75%포인트의 금리인상이 정당화될 것으로 믿는다고 강조했다. ◇ 불라드 총재 ""금리인상한다고 침체에 빠지는 것은 아니다"" : 연준의 대표적인 인플레이션 매파 제임스 불라드 세인트루이스 연준 총재도 논문을 통해 ""연준이 금리를 인상한다고 미국 경제가 침체에 빠지는 건 아니다""고 주장했다.



세인트루이스 연은 총재 제임스 불라드가 연설하고 있다. © 로이터=뉴스1 © News1 박형기 기자그는 논문을 통해 1983년과 1994년에 연준이 금리를 인상했지만 경기 침체를 촉발하지는 않았다며 현재 연준이 이 사례를 참고해야 한다고 말했다. 한편 이날 미국 증시는 미국 소비자신뢰지수가 인플레이션 우려로 16개월래 최저치로 떨어짐에 따라 일제히 급락했다. 나스닥이 2.98%, 다우가 1.56%, S&amp;P500이 2.01% 각각 하락했다.
		]"
"[뉴욕증시, GDP 부진 속 혼조세 마감]",https://n.news.naver.com/mnews/article/214/0001205948?sid=101,"[
			[뉴스투데이]뉴욕증시가 혼조세를 보였습니다. 다우지수는 0.2% 올랐고, S&amp;P500과 나스닥 지수는 각각 0.07%, 0.03% 내리며, 약보합권에서 움직였습니다. 올해 상반기 S&amp;P500지수는 20%가량 떨어졌는데요.1970년(21.01%↓) 이후 최악의 하락률을 나타내고 있습니다. 미국의 1분기 GDP 성장률은 잠정치보다 부진한 연율 -1.6%로 확정되며, 경기 침체 우려를 키웠습니다. 주요 종목을 보면, 아마존 1.4% 상승, 엔비디아 2.7%, 테슬라 1.7% 하락했습니다. 한편 국제유가는 4거래일 만에 하락했는데요.WTI 가격은1.7% 하락한 배럴당 109달러 선에서 마감했습니다. 시장의 관심은 ‘인플레이션 압박이 언제쯤 완화될 수 있는가’에 모아지고 있습니다. 이런 점에서 우리시간으로 오늘 밤 발표될 미국의 5월 개인소비지출 가격지수는 시장에 큰 영향을 줄 것으로 보입니다.개인소비지출은 연준에서 중시하는 물가 지표인데, 5월 수치는 전년 동기 대비 6.4% 상승할 것으로 전망되고 있습니다. 한 달여 전에 또다른 물가 측정 지표인 5월 소비자물가지수 발표 이후 미국을 비롯한 글로벌 증시가 요동친 경험이 있습니다.지금까지 신영증권에서 전해드렸습니다.MBC 뉴스는 24시간 여러분의 제보를 기다립니다. ▷ 전화 02-784-4000▷ 이메일 mbcjebo@mbc.co.kr▷ 카카오톡 @mbc제보
]"
"[뉴욕증시, 경제 지표 부진에 하락…S&amp;P500 2%↓·나스닥 3%↓]",https://n.news.naver.com/mnews/article/088/0000764373?sid=104,"[




27일(현지시간) 미국 뉴욕증권거래소(NYSE) 입회장에 뉴욕 증시 거래 정보를 보여주는 화면이 나오고 있다. 연합뉴스지난주 반등 조짐을 보였던 미국 뉴욕증시가 기대인플레이션 심화 소식에 다시 주저앉았다. 중국의 코로나19 방역 규제 완화와 은행들의 배당 인상 소식도 증시를 끌어올리지는 못했다.28일(현지시간) 뉴욕증시의 다우존스30 산업평균지수는 전장보다 491.27포인트(1.56%) 내린 30,946.99에 거래를 마쳤다.스탠더드앤드푸어스(S＆P) 500 지수는 78.56포인트(2.01%) 떨어진 3,821.55에, 기술주 중심의 나스닥 지수는 343.01포인트(2.98%) 급락한 11,181.54에 각각 장을 마감했다.뉴욕증시의 3대 지수는 지난주 5.4∼7.5% 올라 6월 들어 첫 주간 상승을 기록했으나, 월요일인 전날 나란히 소폭 떨어진 데 이어 하락폭을 더욱 늘렸다.미국 소비자들의 비관적인 경기 전망이 수치로 확인되면서 뉴욕증시의 반등세에 김이 빠졌다는 분석이 나온다.비영리 경제조사기관 콘퍼런스보드가 이날 발표한 6월 미 소비자신뢰지수는 98.7로 전월(103.2)보다 크게 하락, 지난해 2월 이후 16개월 만에 최저치를 기록했다.특히 소비자들이 예상한 향후 12개월 기대인플레이션은 8.0%로 전월(7.5%)보다 높아진 것은 물론 1987년 8월 관련 조사가 시작된 이후 최고치를 찍었다.캐시 우드 아크인베스트 최고경영자(CEO)는 이날 CNBC에 출연해 이미 우리가 경기 침체 상태에 빠진 것으로 보인다고 주장했다.우드 CEO는 ""재고 문제가 크다""라면서 ""내 45년 경력에서 이렇게 재고가 많이 늘어난 것은 본 적이 없다""라고 주장했다.UBS는 경기 침체 가능성을 지난 4월에 13%로 예상한 데서 최근 26%로 상향했다. 전날 S＆P도 미국의 12개월 내 침체 가능성을 40%가량으로 높였고, 이보다 앞서는 골드만삭스가 내년 미국의 침체 가능성을 30%로 상향했다.소비심리 약화 속에 이날 시장 전망치보다 낮은 매출 전망치를 내놓은 나이키는 7.0% 급락했고, AMD(6.2%)와 엔비디아(4.9%) 등 반도체주들도 부진했다. 다만 내년 하반기 신형 아이폰에도 5G칩을 독점 공급할 것으로 보인다는 전망이 나온 퀄컴만 4.7% 급등했다.또 중국의 신종 코로나바이러스 감염증(코로나19) 입국 규제 완화에 힘입어 윈리조트(3.2%)와 라스베이거스샌즈(4.0%) 등 호텔·카지노 업체들의 주가도 올랐다.
]"
[[S쇼크] 휘청이는 국내 증시…하반기 주목할 업종은?],https://n.news.naver.com/mnews/article/031/0000681993?sid=101,"[
하반기 코스피 전망치 2200선까지 하향 조정…""선별 접근 필요""글로벌 경기 침체 우려에 코스피지수가 2300선까지 하락하며 변동성을 확대하고 있다. 증권가에선 하반기 코스피 전망 눈높이를 하향 조정하며 추가 하락 가능성도 열어두는 모습이다.다만 이미 증시가 큰 폭으로 하락한 현 시점에선 주식 비중을 축소하기 보단 리밸런싱을 통한 포트폴리오 조정이 기대수익률을 높이는 데 더 유리할 수 있다는 조언이 나온다.



코스피지수가 경기 침체 우려 등으로 2400선을 하회하며 변동성을 보이고 있다. 코스피는 지난 23일 장중 2306.48까지 하락하며 연중 최저점을 기록했다. 사진은 서울 여의도 KB국민은행 딜링룸 전광판의 모습. [사진=KB국민은행]29일 금융투자업계에 따르면 한국투자증권은 하반기 코스피 전망치를 기존 2460~3000에서 2200~2660으로 하향 조정했다. 신한금융투자도 하반기 증시 저점을 2200선까지 낮췄다. 상단은 2500으로 제시했다. 교보증권은 하반기 코스피의 등락 범위를 2350~2650로 예상했다.김대준 한국투자증권 연구원은 ""코스피 전망치 상단은 현재 예상 자기자본이익률(ROE) 10.1%가 이익 증가로 높아짐과 동시에 금리 상승 속도가 제한되는 가정을, 하단은 경기 둔화에 따른 이익 감소와 한국은행 금융통화위원회의 적극적인 긴축 행보로 요구수익률(COE)이 상승할 가능성을 반영한다""고 설명했다.전망치는 하향 조정했지만 코스피 경로는 기존 전망대로 시간이 갈수록 저점과 고점을 높일 것으로 예상했다. 김 연구원은 ""연준의 긴축 불확실성이 상반기 대비 완화되고, 단기 급락한 주가로 인해 저가 매수세가 유입될 수 있기 때문""이라고 설명했다.



한국투자증권은 코스피의 하반기 전망치를 하향 조정했지만, 추후 지수 레벨은 지금보다 높은 위치에 있을 수 있다고 판단했다. [사진=한국투자증권]부채비율과 자본적 지출(CAPEX) 증가율이 의미있는 수치로 해석되는 업종으로 2차전지·신소재 등 화학, 음식료, 바이오, IT소부장 등을 꼽았다.김 연구원은 ""음식료, 바이오 등 경기 변동에 영향을 덜 받는 종목은 하반기 경제 환경이 예상보다 악화되더라도 안정적 흐름을 나타낼 수 있다""며 ""2차전지, IT소부장 등은 최근 가격 조정으로 주가가 크게 하락했지만 투자와 신규주문이 이어지고 있어 주가 회복이 충분히 가능하다""고 분석했다.노동길 신한금융투자 연구원은 ""경기 침체를 고려했을 때 예상할 수 있는 추가 낙폭보다 침체 아닐 경우 회복할 수 있는 지수 여력이 더 높은 구간""이라며 ""침체 확률과 기대 낙폭을 고려했을 때 주식 매도 실익이 크지 않다. 주식 비중 축소를 고려하기보다 변동성 구간을 리밸런싱 기회로 삼을 때""라고 분석했다.상반기 CAPEX로 확실한 성장을 증명한 기업, 저마진 변동성의 방어주, 장기 정책 방향에 부합하는 원전·반도체 중심으로 대응할 것으로 조언했다.노 연구원은 ""CAPEX로 성장을 증명한 투자 대상은 2차전지 소재, 장비·신재생에너지 관련이다. 저마진 변동성에 따라 이익 달성률이 높을 업종은 통신, 유틸리티, 보험, 필수소비재""라며 ""원전 관련주와 반도체 밸류체인 내 소재, 부품, 장비는 정부 장기 정책 방향에 부합한다""고 설명했다.
]"
[美증시 다음 변수는 실적…어닝 시즌까지 박스권 장세[오미주]],https://n.news.naver.com/mnews/article/008/0004764816?sid=101,"[
			[편집자주] '오미주'는 '오늘 주목되는 미국 주식'의 줄인 말입니다. 주가에 영향을 미칠 만한 이벤트가 있었거나 애널리스트들의 언급이 많았던 주식을 뉴욕 증시 개장 전에 소개합니다.



미국 증시가 지난 16일 올들어 최저점을 찍고 반등하다 28일(현지시간) 다시 큰 폭으로 미끄러졌다.다우존스지수가 1.6%, S&amp;P500지수가 2% 떨어졌고 나스닥지수는 3% 추락했다. 컨퍼런스보드의 6월 소비자 신뢰지수가 예상보다 큰 폭으로 하락한 것이 원인이었다. 경기가 급격히 둔화할 것이라는 우려에 증시가 하락했지만 지난주까지 2주 이상 경기 침체 전망에 급락했던 정유주는 유가가 상승하면서 반등세를 이어갔다. 미국 증시는 최근 경기 침체 우려가 고조되면서 경제지표의 영향력이 커졌다. 29일에는 오전 8시30분에 올 1분기 GDP(국내총생산) 성장률 확정치가 발표된다. 기존에 발표됐던 -1.5%가 유지될 것으로 전망된다.오전 9시에는 제롬 파월 연준(연방준비제도) 의장과 크리스틴 라가르드 ECB(유럽중앙은행) 총재, 앤드류 베일리 영란은행 총재, 아우구스틴 카르스텐스 BIS(국제결제은행) 총재가 ECB 콘퍼런스에서 연설한다.전세계적인 물가 상승 압력과 경기 침체 우려에 대해 어떤 진단이 나올지 주목된다.━당분간 재료 공백…박스권 전망━미국 증시는 지난 16일 최저점을 바닥으로 과매도에 따른 반짝 랠리를 누린 후 숨 고르기를 하고 있는 것으로 보인다.당분간은 증시를 지난 16일 최저치 밑으로 끌어내릴 악재가 나올만한 일정이 없어 S&amp;P500지수가 4100까지 반등할 수 있을 것이란 전망도 나온다.DWS그룹의 최고 투자 책임자인 데이비드 비앙코는 28일 한 행사에서 ""지금 침체장은 1966년과 비슷하다""며 S&amp;P500지수가 올해 말까지 3700~4100 박스권에서 움직일 것으로 전망했다.1966년에도 지금처럼 미국 경제가 공식적으로 침체에 진입하지 않은 가운데 S&amp;P500지수가 22% 하락했다. 비앙코는 올해도 1966년처럼 경제가 공식적으로 침체에 빠지진 않을 것으로 보인다고 밝혔다. 공식적인 경기 침체란 2분기 이상 마이너스 성장을 말한다.그는 설사 올해 말이나 내년 초에 미국 경제가 소폭의 침체를 보인다 해도 심각한 디폴트(채무불이행) 사태가 벌어지지는 않을 것으로 예상했다.  이 경우 증시에 심각한 타격을 미치진 않을 것이란 설명이다. 따라서 지금과 경제 여건이 비슷한 1966년에 S&amp;P500지수 하락률이 22%였다는 점을 고려할 때 지난 1월3일에 기록한 사상최고치에서 현재 20% 가량 떨어진 S&amp;P500지수가 추가로 크게 내려가진 않을 것이란 예상이다.━이제 증시 변수는 실적━다른 월가 전략가들은 오는 7월 14~15일 주요 은행들의 실적 발표로 시작되는 올 2분기 어닝 시즌이 증시 방향을 결정짓는 변수가 될 것으로 보고 있다. CNBC는 대부분의 전략가들이 침체장 종말을 선언할 수 있는 한 가지 기준이 기업들의 이익 전망치 조정이라고 보고 있다고 전했다.로열 런던 자산관리의 멀티애셋 부문장인 트레보 그리담은 지난 27일 CNBC에 출연해 ""다음 문제는 기업 실적""이라며 ""이번 반등이 다소 오랫동안 지속될 수도 있지만 침체장이 끝난 것은 아니라고 생각한다""고 말했다.모간스탠리의 유럽 증시 전략팀도 지난 27일 보고서를 통해 ""주식시장은 기업들의 실적 하향 조정이 바닥을 치기 2~3주 전에 바닥을 치는 경향이 있는데 실적 하향 조정은 아직 시작하지도 않았다""고 지적했다.모간스탠리의 유럽 증시 전략가인 그레이엄 섹커는 ""앞으로 두 달여간 경제 뉴스 흐름은 악화될 것이고 이는 (GDP와 기업들의 실적) 전망에 하향 압력을 가할 것""이리고 밝혔다.
]"
